Index,Post,Comments,Date
0,"seriously what is up w the person that posted about losing their shit while drunk? all of their comments have been reported or deleted… they were mean asf to everyone, lowkey evil",14,1:12:25
1,hardest class you've ever taken here?,1,1:12:25
2,whats happening with fetish this year? i feel like i havent seen anything abt it,28,1:12:25
3,fuck i definitely have a crush on my friend who’s in a relationship,18,1:12:25
4,"hey, everyone… this is really embarassing, but i genuinely need advice. i wet the bed last night, and my roomste didnt say anything, but when i woke up my sheets wete visibly wet and i quickly did a load of laundry. im just so humiliated. i have a condituon where sometimes when im in my rem cycle i will pee, and it’s just so so embarrasing, but i cant help it. ive tried everything and its been years, so ive more or less given up on “fixing” the bigger problem of bed wetting. but i just dont know how or if i should talk to my roomate about this because i know its foul and smelly, but i really cant help it. real respinses only please, its already been a long day.",17,1:12:25
5,"Does anyone know why there were just like 50 people chanting on the quad? it was just for a few minutes, but i wanted to know fir sure",1,1:12:25
6,my binge eating is getting so bad i need advice ,1,1:12:25
7,spent the night at my boyfriends place and woke up to blood all over this leg…embarrassinggg i didnt know my period was starting so soon.,5,1:12:25
8,if you don’t smoke cigarettes - why not? ,0,1:12:25
9,passed out drunk at 6 and just woke up and theres… a trail of shit to my bed and the bed is even worse…. i think i blacked out so idk how it happened but its so gross i cant clean it and have nowhere to sleep,1,1:12:25
10,tell someone who cares ,1,1:12:25
11,"if youre in a visibly queer relationship, what has been your experience at umass frats?",3,1:12:25
12,if u smoke cigarettes- why?,35,1:12:25
13,"just an fyi- i feel like we should give a grace period of 10 min to grab stuff from washers and dryers. literally, had two washers going at dif temps so one took like 5 min longer but the app said it still wasnt ready when my phone time went off. so i waited til the app said the second washer was closer to done… i went down stairs and found someone taking out my stuff out of the washer. like sheesh- comeon guys. why do you have to be like vultures with laundry machines?",22,1:12:25
14,girl singing in Emerson literally STOP nobody wants to hear this,7,1:12:25
0,"sticks and stones may break my bones, but at least im fucking normal.",11,1:42:25
1,maid is so submissive ,0,1:42:25
2,when maid gets hungry she eats out of the dustpan ,0,1:42:25
3,maid is almost done!,0,1:42:25
4,havent figured out how to duplicate posts yet cringe                  ,0,1:42:25
5,what kind of sad sack comes on here and harasses a girl just trying to recover her lost kitten heels…. its called timeless elegance you dumb sluts 83,2,1:42:25
6,what kind of sad sack comes on here and harasses a girl just trying to recover her lost kitten heels…. its called timeless elegance you dumb sluts 58,0,1:42:25
7,what kind of sad sack comes on here and harasses a girl just trying to recover her lost kitten heels…. its called timeless elegance you dumb sluts 28,0,1:42:25
8,what kind of sad sack comes on here and harasses a girl just trying to recover her lost kitten heels…. its called timeless elegance you dumb sluts 21,0,1:42:25
9,what kind of sad sack comes on here and harasses a girl just trying to recover her lost kitten heels…. its called timeless elegance you dumb sluts 20,0,1:42:25
10,"hey, everyone… this is really embarassing, but i genuinely need advice. i wet the bed last night, and my roomste didnt say anything, but when i woke up my sheets wete visibly wet and i quickly did a load of laundry. im just so humiliated. i have a condituon where sometimes when im in my rem cycle i will pee, and it’s just so so embarrasing, but i cant help it. ive tried everything and its been years, so ive more or less given up on “fixing” the bigger problem of bed wetting. but i just dont know how or if i should talk to my roomate about this because i know its foul and smelly, but i really cant help it. real respinses only please, its already been a long day.",18,1:42:25
11,shoe girl is the new pink bike girl,1,1:42:25
12,who in king called campo for a noise complaint recently?,38,1:42:25
13,girl singing in Emerson literally STOP nobody wants to hear this,8,1:42:25
14,hardest class you've ever taken here?,1,1:42:25
0,after all that my question is did you seriously bring slippers to change into when you were only wearing 1.5 inch heels,3,2:12:27
1,been a good one but i dont want anyone else in on our little thing 🤫 so im deleting the rest of these and you can come find me tomorrow night 🥵😩🥿,4,2:12:27
2,"hey, everyone… this is really embarassing, but i genuinely need advice. i wet the bed last night, and my roomste didnt say anything, but when i woke up my sheets wete visibly wet and i quickly did a load of laundry. im just so humiliated. i have a condituon where sometimes when im in my rem cycle i will pee, and it’s just so so embarrasing, but i cant help it. ive tried everything and its been years, so ive more or less given up on “fixing” the bigger problem of bed wetting. but i just dont know how or if i should talk to my roomate about this because i know its foul and smelly, but i really cant help it. real respinses only please, its already been a long day.",18,2:12:27
3,shoe girl is the new pink bike girl,1,2:12:27
4,who in king called campo for a noise complaint recently?,38,2:12:27
5,girl singing in Emerson literally STOP nobody wants to hear this,8,2:12:27
6,hardest class you've ever taken here?,1,2:12:27
7,whats happening with fetish this year? i feel like i havent seen anything abt it,28,2:12:27
8,fuck i definitely have a crush on my friend who’s in a relationship,18,2:12:27
9,my binge eating is getting so bad i need advice ,1,2:12:27
10,spent the night at my boyfriends place and woke up to blood all over this leg…embarrassinggg i didnt know my period was starting so soon.,5,2:12:27
11,if you don’t smoke cigarettes - why not? ,0,2:12:27
12,passed out drunk at 6 and just woke up and theres… a trail of shit to my bed and the bed is even worse…. i think i blacked out so idk how it happened but its so gross i cant clean it and have nowhere to sleep,1,2:12:27
13,tell someone who cares ,1,2:12:27
14,"just an fyi- i feel like we should give a grace period of 10 min to grab stuff from washers and dryers. literally, had two washers going at dif temps so one took like 5 min longer but the app said it still wasnt ready when my phone time went off. so i waited til the app said the second washer was closer to done… i went down stairs and found someone taking out my stuff out of the washer. like sheesh- comeon guys. why do you have to be like vultures with laundry machines?",22,2:12:27
0,whats happening with fetish this year? i feel like i havent seen anything abt it,29,2:42:27
1,what is the attire for fetish,7,2:42:27
2,been a good one but i dont want anyone else in on our little thing 🤫 so im deleting the rest of these and you can come find me tomorrow night 🥵😩🥿,5,2:42:27
3,"hey, everyone… this is really embarassing, but i genuinely need advice. i wet the bed last night, and my roomste didnt say anything, but when i woke up my sheets wete visibly wet and i quickly did a load of laundry. im just so humiliated. i have a condituon where sometimes when im in my rem cycle i will pee, and it’s just so so embarrasing, but i cant help it. ive tried everything and its been years, so ive more or less given up on “fixing” the bigger problem of bed wetting. but i just dont know how or if i should talk to my roomate about this because i know its foul and smelly, but i really cant help it. real respinses only please, its already been a long day.",18,2:42:27
4,shoe girl is the new pink bike girl,1,2:42:27
5,girl singing in Emerson literally STOP nobody wants to hear this,8,2:42:27
6,fuck i definitely have a crush on my friend who’s in a relationship,18,2:42:27
7,my binge eating is getting so bad i need advice ,1,2:42:27
8,spent the night at my boyfriends place and woke up to blood all over this leg…embarrassinggg i didnt know my period was starting so soon.,5,2:42:27
9,passed out drunk at 6 and just woke up and theres… a trail of shit to my bed and the bed is even worse…. i think i blacked out so idk how it happened but its so gross i cant clean it and have nowhere to sleep,1,2:42:27
10,"just an fyi- i feel like we should give a grace period of 10 min to grab stuff from washers and dryers. literally, had two washers going at dif temps so one took like 5 min longer but the app said it still wasnt ready when my phone time went off. so i waited til the app said the second washer was closer to done… i went down stairs and found someone taking out my stuff out of the washer. like sheesh- comeon guys. why do you have to be like vultures with laundry machines?",22,2:42:27
11,comment good party songs ,9,2:42:27
12,on a scale of 1-10 how close are you with your friends,2,2:42:27
13,For anyone whos had a hookup before-what is it like? I’m wondering if it would help me understand my sexuality or not,12,2:42:27
14,"i feel in my heart that tomorrow greg de wet is gonna make some joke in geo104 about taylor swift. Like “hope you all managed to do the reading, even though you were probably busy listening to the new taylor swift album!” idk it would just seem on brand for him",4,2:42:27
0,"hey, everyone… this is really embarassing, but i genuinely need advice. i wet the bed last night, and my roomste didnt say anything, but when i woke up my sheets wete visibly wet and i quickly did a load of laundry. im just so humiliated. i have a condituon where sometimes when im in my rem cycle i will pee, and it’s just so so embarrasing, but i cant help it. ive tried everything and its been years, so ive more or less given up on “fixing” the bigger problem of bed wetting. but i just dont know how or if i should talk to my roomate about this because i know its foul and smelly, but i really cant help it. real respinses only please, its already been a long day.",19,3:12:27
1,havent figured out how to unreport posts yet either?       ,0,3:12:27
2,whats happening with fetish this year? i feel like i havent seen anything abt it,29,3:12:27
3,what is the attire for fetish,7,3:12:27
4,been a good one but i dont want anyone else in on our little thing 🤫 so im deleting the rest of these and you can come find me tomorrow night 🥵😩🥿,5,3:12:27
5,shoe girl is the new pink bike girl,1,3:12:27
6,girl singing in Emerson literally STOP nobody wants to hear this,8,3:12:27
7,fuck i definitely have a crush on my friend who’s in a relationship,18,3:12:27
8,my binge eating is getting so bad i need advice ,1,3:12:27
9,spent the night at my boyfriends place and woke up to blood all over this leg…embarrassinggg i didnt know my period was starting so soon.,5,3:12:27
10,passed out drunk at 6 and just woke up and theres… a trail of shit to my bed and the bed is even worse…. i think i blacked out so idk how it happened but its so gross i cant clean it and have nowhere to sleep,1,3:12:27
11,"just an fyi- i feel like we should give a grace period of 10 min to grab stuff from washers and dryers. literally, had two washers going at dif temps so one took like 5 min longer but the app said it still wasnt ready when my phone time went off. so i waited til the app said the second washer was closer to done… i went down stairs and found someone taking out my stuff out of the washer. like sheesh- comeon guys. why do you have to be like vultures with laundry machines?",22,3:12:27
12,comment good party songs ,9,3:12:27
13,on a scale of 1-10 how close are you with your friends,2,3:12:27
14,For anyone whos had a hookup before-what is it like? I’m wondering if it would help me understand my sexuality or not,12,3:12:27
0,on a scale of ur mom to ur dad who are you most similar to,0,3:42:28
1,on a scale of 1-10 how close are you with your friends,3,3:42:28
2,"hey, everyone… this is really embarassing, but i genuinely need advice. i wet the bed last night, and my roomste didnt say anything, but when i woke up my sheets wete visibly wet and i quickly did a load of laundry. im just so humiliated. i have a condituon where sometimes when im in my rem cycle i will pee, and it’s just so so embarrasing, but i cant help it. ive tried everything and its been years, so ive more or less given up on “fixing” the bigger problem of bed wetting. but i just dont know how or if i should talk to my roomate about this because i know its foul and smelly, but i really cant help it. real respinses only please, its already been a long day.",19,3:42:28
3,havent figured out how to unreport posts yet either?       ,0,3:42:28
4,whats happening with fetish this year? i feel like i havent seen anything abt it,29,3:42:28
5,what is the attire for fetish,7,3:42:28
6,been a good one but i dont want anyone else in on our little thing 🤫 so im deleting the rest of these and you can come find me tomorrow night 🥵😩🥿,5,3:42:28
7,shoe girl is the new pink bike girl,1,3:42:28
8,girl singing in Emerson literally STOP nobody wants to hear this,8,3:42:28
9,fuck i definitely have a crush on my friend who’s in a relationship,18,3:42:28
10,my binge eating is getting so bad i need advice ,1,3:42:28
11,spent the night at my boyfriends place and woke up to blood all over this leg…embarrassinggg i didnt know my period was starting so soon.,5,3:42:28
12,passed out drunk at 6 and just woke up and theres… a trail of shit to my bed and the bed is even worse…. i think i blacked out so idk how it happened but its so gross i cant clean it and have nowhere to sleep,1,3:42:28
13,"just an fyi- i feel like we should give a grace period of 10 min to grab stuff from washers and dryers. literally, had two washers going at dif temps so one took like 5 min longer but the app said it still wasnt ready when my phone time went off. so i waited til the app said the second washer was closer to done… i went down stairs and found someone taking out my stuff out of the washer. like sheesh- comeon guys. why do you have to be like vultures with laundry machines?",22,3:42:28
14,comment good party songs ,9,3:42:28
-1,No new posts,N/a,4:12:28
0,on a scale of 1-10 how close are you with your friends,4,4:42:29
1,on a scale of ur mom to ur dad who are you most similar to,0,4:42:29
2,"hey, everyone… this is really embarassing, but i genuinely need advice. i wet the bed last night, and my roomste didnt say anything, but when i woke up my sheets wete visibly wet and i quickly did a load of laundry. im just so humiliated. i have a condituon where sometimes when im in my rem cycle i will pee, and it’s just so so embarrasing, but i cant help it. ive tried everything and its been years, so ive more or less given up on “fixing” the bigger problem of bed wetting. but i just dont know how or if i should talk to my roomate about this because i know its foul and smelly, but i really cant help it. real respinses only please, its already been a long day.",19,4:42:29
3,havent figured out how to unreport posts yet either?       ,0,4:42:29
4,whats happening with fetish this year? i feel like i havent seen anything abt it,29,4:42:29
5,what is the attire for fetish,7,4:42:29
6,been a good one but i dont want anyone else in on our little thing 🤫 so im deleting the rest of these and you can come find me tomorrow night 🥵😩🥿,5,4:42:29
7,shoe girl is the new pink bike girl,1,4:42:29
8,girl singing in Emerson literally STOP nobody wants to hear this,8,4:42:29
9,fuck i definitely have a crush on my friend who’s in a relationship,18,4:42:29
10,my binge eating is getting so bad i need advice ,1,4:42:29
11,spent the night at my boyfriends place and woke up to blood all over this leg…embarrassinggg i didnt know my period was starting so soon.,5,4:42:29
12,passed out drunk at 6 and just woke up and theres… a trail of shit to my bed and the bed is even worse…. i think i blacked out so idk how it happened but its so gross i cant clean it and have nowhere to sleep,1,4:42:29
13,"just an fyi- i feel like we should give a grace period of 10 min to grab stuff from washers and dryers. literally, had two washers going at dif temps so one took like 5 min longer but the app said it still wasnt ready when my phone time went off. so i waited til the app said the second washer was closer to done… i went down stairs and found someone taking out my stuff out of the washer. like sheesh- comeon guys. why do you have to be like vultures with laundry machines?",22,4:42:29
14,comment good party songs ,9,4:42:29
0,what do u do/say if u found a guy cute in a party or a club??  like it’s so awkward to take the first step,0,5:12:29
1,i just had sex in seelye,7,5:12:29
2,what can u do with the neuroscience bachelor’s degree other than research??,0,5:12:29
3,"i feel in my heart that tomorrow greg de wet is gonna make some joke in geo104 about taylor swift. Like “hope you all managed to do the reading, even though you were probably busy listening to the new taylor swift album!” idk it would just seem on brand for him",5,5:12:29
4,on a scale of 1-10 how close are you with your friends,4,5:12:29
5,on a scale of ur mom to ur dad who are you most similar to,0,5:12:29
6,"hey, everyone… this is really embarassing, but i genuinely need advice. i wet the bed last night, and my roomste didnt say anything, but when i woke up my sheets wete visibly wet and i quickly did a load of laundry. im just so humiliated. i have a condituon where sometimes when im in my rem cycle i will pee, and it’s just so so embarrasing, but i cant help it. ive tried everything and its been years, so ive more or less given up on “fixing” the bigger problem of bed wetting. but i just dont know how or if i should talk to my roomate about this because i know its foul and smelly, but i really cant help it. real respinses only please, its already been a long day.",19,5:12:29
7,havent figured out how to unreport posts yet either?       ,0,5:12:29
8,whats happening with fetish this year? i feel like i havent seen anything abt it,29,5:12:29
9,what is the attire for fetish,7,5:12:29
10,been a good one but i dont want anyone else in on our little thing 🤫 so im deleting the rest of these and you can come find me tomorrow night 🥵😩🥿,5,5:12:29
11,shoe girl is the new pink bike girl,1,5:12:29
12,girl singing in Emerson literally STOP nobody wants to hear this,8,5:12:29
13,fuck i definitely have a crush on my friend who’s in a relationship,18,5:12:29
14,my binge eating is getting so bad i need advice ,1,5:12:29
-1,No new posts,N/a,5:42:29
-1,No new posts,N/a,6:12:30
-1,No new posts,N/a,6:42:30
-1,No new posts,N/a,7:12:31
0,havent figured out how to unreport posts yet either?       ,2,7:42:31
1,on a scale of 1-10 how close are you with your friends,5,7:42:31
2,Weren't the course listings for spring 23 supposed to come out today? ,1,7:42:31
3,what can u do with the neuroscience bachelor’s degree other than research??,2,7:42:31
4,what do u do/say if u found a guy cute in a party or a club??  like it’s so awkward to take the first step,0,7:42:31
5,i just had sex in seelye,7,7:42:31
6,"i feel in my heart that tomorrow greg de wet is gonna make some joke in geo104 about taylor swift. Like “hope you all managed to do the reading, even though you were probably busy listening to the new taylor swift album!” idk it would just seem on brand for him",5,7:42:31
7,on a scale of ur mom to ur dad who are you most similar to,0,7:42:31
8,"hey, everyone… this is really embarassing, but i genuinely need advice. i wet the bed last night, and my roomste didnt say anything, but when i woke up my sheets wete visibly wet and i quickly did a load of laundry. im just so humiliated. i have a condituon where sometimes when im in my rem cycle i will pee, and it’s just so so embarrasing, but i cant help it. ive tried everything and its been years, so ive more or less given up on “fixing” the bigger problem of bed wetting. but i just dont know how or if i should talk to my roomate about this because i know its foul and smelly, but i really cant help it. real respinses only please, its already been a long day.",19,7:42:31
9,whats happening with fetish this year? i feel like i havent seen anything abt it,29,7:42:31
10,what is the attire for fetish,7,7:42:31
11,been a good one but i dont want anyone else in on our little thing 🤫 so im deleting the rest of these and you can come find me tomorrow night 🥵😩🥿,5,7:42:31
12,shoe girl is the new pink bike girl,1,7:42:31
13,girl singing in Emerson literally STOP nobody wants to hear this,8,7:42:31
14,fuck i definitely have a crush on my friend who’s in a relationship,18,7:42:31
0,i stg they’re just turning off the wifi at ramdom points till one of us cracks ,0,8:12:31
1,been a good one but i dont want anyone else in on our little thing 🤫 so im deleting the rest of these and you can come find me tomorrow night 🥵😩🥿,6,8:12:31
2,woke up thinking of maid 💔,0,8:12:31
3,professors you thirst for ,4,8:12:31
4,course list WHEN,0,8:12:31
5,gimme the courses NOW,0,8:12:31
6,pokemoto is so good,1,8:12:31
7,"i want to see some of uou in an extremelt confined office space with little to no natural light working 8 hours a day with middle aged coworkers, i.e. being normal because some of you desperately need a reality check ",11,8:12:31
8,"if you could go back in time and fix society in some way so that present day could be better, what would you change? i would stop the enlightenment :) (plz dont take this too seriously i am looking for entertaining answers)",20,8:12:31
9,anyone following the darrell brooks trial? ,0,8:12:31
10,in your past (ended) relationships did you think you would get married to them,8,8:12:31
11,people on this are so mean. so mean and aggressive. literally insane. ,12,8:12:31
12,whats a good gpa here.... i feel so dumb,22,8:12:31
13,havent figured out how to unreport posts yet either?       ,2,8:12:31
14,on a scale of 1-10 how close are you with your friends,5,8:12:31
0,course list WHEN,1,8:42:32
1,in your past (ended) relationships did you think you would get married to them,10,8:42:32
2,bageena,1,8:42:32
3,i never made it as a wise man 🧠 couldn’t cut it as a poor man stealin 🦹🏻‍♂️ tired of living like a blind man 🔎 sick of sight without a sense of feeling 😷,0,8:42:32
4,professors you thirst for ,5,8:42:32
5,on a scale of ur mom to ur dad who are you most similar to,2,8:42:32
6,i love living in hubbard bc when the smith wifi goes down i can use forbes library's guest wifi,2,8:42:32
7,i stg they’re just turning off the wifi at ramdom points till one of us cracks ,0,8:42:32
8,been a good one but i dont want anyone else in on our little thing 🤫 so im deleting the rest of these and you can come find me tomorrow night 🥵😩🥿,6,8:42:32
9,woke up thinking of maid 💔,0,8:42:32
10,gimme the courses NOW,0,8:42:32
11,pokemoto is so good,1,8:42:32
12,"i want to see some of uou in an extremelt confined office space with little to no natural light working 8 hours a day with middle aged coworkers, i.e. being normal because some of you desperately need a reality check ",11,8:42:32
13,"if you could go back in time and fix society in some way so that present day could be better, what would you change? i would stop the enlightenment :) (plz dont take this too seriously i am looking for entertaining answers)",20,8:42:32
14,anyone following the darrell brooks trial? ,0,8:42:32
0,"hey, everyone… this is really embarassing, but i genuinely need advice. i wet the bed last night, and my roomste didnt say anything, but when i woke up my sheets wete visibly wet and i quickly did a load of laundry. im just so humiliated. i have a condituon where sometimes when im in my rem cycle i will pee, and it’s just so so embarrasing, but i cant help it. ive tried everything and its been years, so ive more or less given up on “fixing” the bigger problem of bed wetting. but i just dont know how or if i should talk to my roomate about this because i know its foul and smelly, but i really cant help it. real respinses only please, its already been a long day.",20,9:12:32
1,first romantic entanglement with a neurotypical person i hate it so much and i want to break up with them but their friends will shit talk me for all eternity and make me feel terrible. its like a hostage situation and im fucking terrified to even move and every time i hang out with them i have a panic attack afterwards ,0,9:12:32
2,what do u do/say if u found a guy cute in a party or a club??  like it’s so awkward to take the first step,2,9:12:32
3,whats goung on w morrow hp?,0,9:12:32
4,MOUNT HOLYOKE SUCKS. THEIR PARTIES SUCK. THEY GET NO BITCHES. THEY GOT DENIED FROM SMITH. HUZZAH!,6,9:12:32
5,"if you could go back in time and fix society in some way so that present day could be better, what would you change? i would stop the enlightenment :) (plz dont take this too seriously i am looking for entertaining answers)",21,9:12:32
6,my binge eating is getting so bad i need advice ,3,9:12:32
7,thoughts on arda collins for intermediate poetry?,0,9:12:32
8,on a scale of ur mom to ur dad who are you most similar to,3,9:12:32
9,pokemoto is so good,2,9:12:32
10,i need a body pillow,0,9:12:32
11,i hate writing personal statement-like essays. its an emotional and tumultuous ride. my sense of self is a lie and gaslighting myself to not sound like a traumatized kid is hard.,0,9:12:32
12,in your past (ended) relationships did you think you would get married to them,11,9:12:32
13,course list WHEN,1,9:12:32
14,bageena,1,9:12:32
0,"if you could go back in time and fix society in some way so that present day could be better, what would you change? i would stop the enlightenment :) (plz dont take this too seriously i am looking for entertaining answers)",22,9:42:33
1,whats happening with fetish this year? i feel like i havent seen anything abt it,33,9:42:33
2,"just an fyi- i feel like we should give a grace period of 10 min to grab stuff from washers and dryers. literally, had two washers going at dif temps so one took like 5 min longer but the app said it still wasnt ready when my phone time went off. so i waited til the app said the second washer was closer to done… i went down stairs and found someone taking out my stuff out of the washer. like sheesh- comeon guys. why do you have to be like vultures with laundry machines?",23,9:42:33
3,i love living in hubbard bc when the smith wifi goes down i can use forbes library's guest wifi,3,9:42:33
4,"hey, everyone… this is really embarassing, but i genuinely need advice. i wet the bed last night, and my roomste didnt say anything, but when i woke up my sheets wete visibly wet and i quickly did a load of laundry. im just so humiliated. i have a condituon where sometimes when im in my rem cycle i will pee, and it’s just so so embarrasing, but i cant help it. ive tried everything and its been years, so ive more or less given up on “fixing” the bigger problem of bed wetting. but i just dont know how or if i should talk to my roomate about this because i know its foul and smelly, but i really cant help it. real respinses only please, its already been a long day.",20,9:42:33
5,first romantic entanglement with a neurotypical person i hate it so much and i want to break up with them but their friends will shit talk me for all eternity and make me feel terrible. its like a hostage situation and im fucking terrified to even move and every time i hang out with them i have a panic attack afterwards ,0,9:42:33
6,what do u do/say if u found a guy cute in a party or a club??  like it’s so awkward to take the first step,2,9:42:33
7,whats goung on w morrow hp?,0,9:42:33
8,MOUNT HOLYOKE SUCKS. THEIR PARTIES SUCK. THEY GET NO BITCHES. THEY GOT DENIED FROM SMITH. HUZZAH!,6,9:42:33
9,my binge eating is getting so bad i need advice ,3,9:42:33
10,thoughts on arda collins for intermediate poetry?,0,9:42:33
11,on a scale of ur mom to ur dad who are you most similar to,3,9:42:33
12,pokemoto is so good,2,9:42:33
13,i need a body pillow,0,9:42:33
14,i hate writing personal statement-like essays. its an emotional and tumultuous ride. my sense of self is a lie and gaslighting myself to not sound like a traumatized kid is hard.,0,9:42:33
0,whats happening with fetish this year? i feel like i havent seen anything abt it,34,10:12:33
1,"if you could go back in time and fix society in some way so that present day could be better, what would you change? i would stop the enlightenment :) (plz dont take this too seriously i am looking for entertaining answers)",24,10:12:33
2,anyone following the darrell brooks trial? ,1,10:12:33
3,For anyone whos had a hookup before-what is it like? I’m wondering if it would help me understand my sexuality or not,14,10:12:33
4,i havent had my period for 5 months,7,10:12:33
5,MOUNT HOLYOKE SUCKS. THEIR PARTIES SUCK. THEY GET NO BITCHES. THEY GOT DENIED FROM SMITH. HUZZAH!,7,10:12:33
6,course list WHEN,4,10:12:33
7,how is becca thomases?,0,10:12:33
8,whats goung on w morrow hp?,1,10:12:33
